"Stay Date","Category","Short Title","Description","Recommended Actions","Projections"
"Friday, March 20, 2026","Demand Signal","Spring Break Weekend Demand Surge Ahead","Pickup for Mar 20–22 is running 34% ahead of pace vs. same time last year, driven by spring break travel. | Current BAR sits at $189 — 18% below comp set median for this weekend. | Only 28 rooms remain unsold across the weekend.","Increase BAR to $219 for Fri–Sun | Close discount and opaque channels immediately | Set 2-night minimum stay restriction","Projected Revenue: +$8.2k (+6.1% vs. current forecast) | Projected Occupancy: 97% (up from 91% at current pace)"
"Saturday, March 21, 2026","Price Drop","Comp Set Rate Drop on Spring Break Saturday","3 direct competitors dropped rates by an average of $22 last night for Mar 21. | Your current BAR of $219 now sits $31 above the comp set median. | Booking pace has stalled — 0 new reservations in the last 6 hours.","Hold rate and monitor for 12 hours — pace drop may be temporary | If pace doesn't recover by noon, lower BAR by $15 to $204","Projected Revenue at current rate: $42.1k (risk of -$3.4k if pace doesn't recover) | Projected Revenue if adjusted: $39.8k — limits downside while maintaining positioning"
"Friday, March 27, 2026","Demand Signal","Local Marathon Driving Unusual Midweek Pickup","A major city marathon on Mar 29 is generating early pickup for Mar 27–29 — currently 22% ahead of last year. | Group and transient mix is shifting: leisure share up to 71% vs. typical 48% for this period. | F&B and ancillary spend historically runs 40% higher on marathon weekends.","Raise BAR by $25 for Mar 27–29 | Promote F&B packages to captured guests | Alert catering team to forecast higher breakfast volume","Projected RevPAR: +$18 vs. current forecast | Projected TRevPAR lift: +$27 when F&B uplift is factored in"
"Sunday, March 29, 2026","Inventory Mismatch","Suite Inventory Underpriced vs. Transient Demand","All 8 suites are still available for Mar 29 despite 94% occupancy on standard room types. | Suite BAR is set at $289 — only $60 above the standard room rate, well below typical suite premium. | 3 suite upgrade requests have been declined in the last 48 hours due to rate mismatch.","Increase suite BAR to $389 | Activate upsell prompts at check-in for arriving guests | Remove suites from OTA availability to protect direct channel","Projected suite revenue uplift: +$2.4k for the night | Estimated upsell conversion at check-in: 1–2 rooms = +$200–$400 additional"
"Friday, April 3, 2026","Market Demand","Regional Conference Filling Comp Set — Gap Risk","A 1200-delegate industry conference is confirmed at the convention center Apr 3–5. | Comp set is 78% sold for this period; your property is at 54%. | Your property is not listed on the conference hotel block shortlist — direct outreach opportunity exists.","Contact conference organiser to request overflow block inclusion | Raise BAR to $229 for Apr 3–5 regardless | Suppress long-stay discounts for this window","Projected Occupancy uplift if block secured: +18–24 pts | Projected Revenue: +$14.6k vs. current forecast for the 3-night window"
"Saturday, April 4, 2026","Anomaly","Unusually High Cancellation Rate — April 4","11 cancellations received in the last 24 hours for Apr 4 — 3x the 30-day average daily cancellation rate. | Cancellations are concentrated in the OTA segment (9 of 11) all booked under fully flexible rates. | No group or event changes have been logged that would explain this pattern.","Audit OTA channel for rate parity issues or scraper activity | Tighten cancellation policy to 48-hour non-refundable for remaining OTA availability | Increase direct channel visibility to backfill","Projected revenue recovery if backfilled via direct: $3.1k | Current at-risk revenue from open cancellation window: -$4.8k if trend continues"
"Friday, April 10, 2026","Demand Signal","Easter Long Weekend — Pace Running Strong","Easter weekend (Apr 10–13) is 89% sold — 12 days earlier than last year's pace. | ADR is currently $204 vs. $187 last Easter — a $17 improvement driven by early direct bookings. | Remaining inventory is concentrated in room categories with lower average rate.","Increase BAR to $239 for the full Easter window | Close all discounted rate plans | Prioritise upsell of remaining premium room types","Projected ADR at full close-out: $231 (+$27 vs. current) | Projected Revenue: +$11.3k (+4.8% vs. current forecast)"
"Saturday, April 11, 2026","Price Drop","OTA Flash Sale Active — Rate Parity Breach Detected","A third-party OTA is displaying a 15% loyalty discount rate of $173 for Apr 11 — below your BAR floor of $195. | This is triggering rate parity alerts in 2 channel manager integrations. | Best available rate on your own website is $204 creating a direct channel disadvantage.","Contact OTA partner immediately to pull the discounted rate | Temporarily suppress your direct BAR to $195 until parity is restored | Log incident for contract compliance review","Estimated revenue leakage if uncorrected for 24 hours: -$1.8k | Parity restoration projected to recover direct booking share within 6–12 hours"
"Sunday, April 12, 2026","Inventory Mismatch","Easter Sunday Oversell Risk — Check Overbooking Strategy","Current overbooking tolerance is set to +3 rooms. Pickup trend suggests this may result in a walk by 6pm. | 4 stayovers from Apr 11 are on flexible checkout — actual departure count is uncertain. | Comp set shows 2 nearby hotels already at 100% with no availability showing online.","Reduce overbooking buffer to +1 for Apr 12 immediately | Contact the 4 flexible-checkout guests to confirm departure by 10am | Identify a walk relocation partner hotel in advance","Walk cost avoidance estimated at $1.2k–$2.4k (comp room + transport + loyalty impact) | No meaningful revenue upside — risk mitigation play only"
"Friday, April 17, 2026","Market Demand","Post-Easter Shoulder Period — Demand Gap Emerging","Apr 17–20 is tracking 18% below pace vs. same period last year. | Comp set has begun discounting — average market rate is down $14 from last week. | Current BAR of $189 is now the highest in the comp set for this window.","Lower BAR to $174 to align with market | Activate targeted email offer to loyalty database for this window | Consider bundled rate with breakfast to drive perceived value","Projected Occupancy recovery: +9–14 pts with rate adjustment | Projected Revenue: -$2.1k rate dilution offset by +$4.6k volume = net +$2.5k"
